Челябинск;2010-06-21;16.6;None;None
Челябинск;2010-06-22;20.1;None;None
Челябинск;2010-06-23;22.4;None;None
Челябинск;2010-06-24;24.7;None;None
Челябинск;2010-06-25;22.3;None;None
Челябинск;2010-06-26;20.8;None;None
Челябинск;2010-06-27;20.2;None;None
Челябинск;2010-06-28;24.4;None;None
Челябинск;2010-06-29;25.1;None;None
Челябинск;2010-06-30;19.8;None;None
Челябинск;2010-07-01;17.9;None;None
Челябинск;2010-07-02;18.8;None;None
Челябинск;2010-07-03;23.2;None;None
Челябинск;2010-07-04;25.7;None;None
Челябинск;2010-07-05;18.3;None;None
Челябинск;2010-07-06;16.2;None;None
Челябинск;2010-07-07;17.1;None;None
Челябинск;2010-07-08;19.3;None;None
Челябинск;2010-07-09;22.1;None;None
Челябинск;2010-07-10;22.6;None;None
Челябинск;2010-07-11;24.4;None;None
Челябинск;2010-07-12;18.8;None;None
Челябинск;2010-07-13;16.7;None;None
Челябинск;2010-07-14;14.2;None;None
Челябинск;2010-07-15;18.8;None;None
Челябинск;2010-07-16;21.2;None;None
Челябинск;2010-07-17;19.9;None;None
Челябинск;2010-07-18;19.3;None;None
Челябинск;2010-07-19;14.4;None;None
Челябинск;2010-07-20;17.1;None;None
Челябинск;2010-07-21;21.4;None;None
Челябинск;2010-07-22;22.5;None;None
Челябинск;2010-07-23;23;None;None
Челябинск;2010-07-24;24.4;None;None
Челябинск;2010-07-25;24.8;None;None
Челябинск;2010-07-26;19;None;None
Челябинск;2010-07-27;19.2;None;None
Челябинск;2010-07-28;21.1;None;None
Челябинск;2010-07-29;20.7;None;None
Челябинск;2010-07-30;23.9;None;None
Челябинск;2010-07-31;25.7;None;None
Челябинск;2010-08-01;25.6;None;None
Челябинск;2010-08-02;26;None;None
Челябинск;2010-08-03;25.8;None;None
Челябинск;2010-08-04;24.3;None;None
Челябинск;2010-08-05;23.2;None;None
Челябинск;2010-08-06;25.4;None;None
Челябинск;2010-08-07;27.2;None;None
Челябинск;2010-08-08;22.4;None;None
Челябинск;2010-08-09;18.1;None;None
Челябинск;2010-08-10;22.9;None;None
Челябинск;2010-08-11;28.4;None;None
Челябинск;2010-08-12;28.6;None;None
Челябинск;2010-08-13;22.4;None;None
Челябинск;2010-08-14;18.1;None;None
Челябинск;2010-08-15;16.2;None;None
Челябинск;2010-08-16;20.4;None;None
Челябинск;2010-08-17;15.1;None;None
Челябинск;2010-08-18;14.3;None;None
Челябинск;2010-08-19;20.4;None;None
Челябинск;2010-08-20;18.2;None;None
Челябинск;2010-08-21;10.4;None;None
Челябинск;2010-08-22;9.5;None;None
Челябинск;2010-08-23;12.8;None;None
Челябинск;2010-08-24;16.2;None;None
Челябинск;2010-08-25;15.1;None;None
Челябинск;2010-08-26;16;None;None
Челябинск;2010-08-27;22.8;None;None
Челябинск;2010-08-28;16.6;None;None
Челябинск;2010-08-29;20.6;None;None
Челябинск;2010-08-30;26.9;None;None
Челябинск;2010-08-31;18.4;None;None
Челябинск;2010-09-01;9.4;None;None
Челябинск;2010-09-02;10.8;None;None
Челябинск;2010-09-03;16.2;None;None
Челябинск;2010-09-04;20.3;None;None
Челябинск;2010-09-05;17.6;None;None
Челябинск;2010-09-06;13.7;None;None
Челябинск;2010-09-07;6.9;None;None
Челябинск;2010-09-08;8.1;None;None
Челябинск;2010-09-09;8.4;None;None
Челябинск;2010-09-10;5.3;None;None
Челябинск;2010-09-11;4.1;None;None
Челябинск;2010-09-12;2.9;None;None
Челябинск;2010-09-13;5.4;None;None
Челябинск;2010-09-14;7.1;None;None
Челябинск;2010-09-15;12.4;None;None
Челябинск;2010-09-16;14.9;None;None
Челябинск;2010-09-17;16.1;None;None
Челябинск;2010-09-18;16.9;None;None
Челябинск;2010-09-19;17.4;None;None
Челябинск;2010-09-20;17.1;None;None
Челябинск;2010-09-21;19.4;None;None
Челябинск;2010-09-22;13.1;None;None
Челябинск;2010-09-23;12.8;None;None
Челябинск;2010-09-24;16.1;None;None
Челябинск;2010-09-25;13.4;None;None
Челябинск;2010-09-26;10.8;None;None
Челябинск;2010-09-27;12.3;None;None
Челябинск;2010-09-28;8.4;None;None
Челябинск;2010-09-29;14.1;None;None
Челябинск;2010-09-30;11.3;None;None
Челябинск;2010-10-01;2.1;None;None
Челябинск;2010-10-02;0.9;None;None
Челябинск;2010-10-03;2.7;None;None
Челябинск;2010-10-04;3.8;None;None
Челябинск;2010-10-05;3.3;None;None
Челябинск;2010-10-06;4.1;None;None
Челябинск;2010-10-07;6.6;None;None
Челябинск;2010-10-08;6.7;None;None
Челябинск;2010-10-09;7.4;None;None
Челябинск;2010-10-10;6.1;None;None
Челябинск;2010-10-11;7.2;None;None
